timestep,agent_id,x,z,collision
17,0,-32.4505996704102,-13.7791500091553,0
17,1,-22.3702602386475,-23.7395324707031,0
17,2,-2.09899926185608,-9.66121673583984,0
17,3,-17.8197383880615,-39.8495483398438,0
17,4,-20.9830532073975,-38.4130783081055,0
17,5,27.7161998748779,-30.6604709625244,0
17,6,8.97353839874268,13.3490257263184,0
17,7,-5.53185272216797,-24.0976581573486,0
17,8,12.0044965744019,-5.98529720306396,0
17,9,20.4551124572754,-23.9152297973633,0
18,0,-32.4505996704102,-13.7791500091553,0
18,1,-21.108980178833,-25.8820304870605,0
18,2,-1.74554634094238,-12.120735168457,0
18,3,-19.0590972900391,-44.6933555603027,0
18,4,-22.2648067474365,-43.2460136413574,0
18,5,32.5818099975586,-31.7294254302979,0
18,6,10.1856489181519,18.1999969482422,0
18,7,-6.17081642150879,-21.6926193237305,0
18,8,12.2596111297607,-3.44879865646362,0
18,9,20.4551029205322,-23.9152317047119,0
19,0,-32.4505996704102,-13.7791500091553,0
19,1,-20.2609825134277,-28.2336921691895,0
19,2,-1.04334187507629,-14.5182628631592,0
19,3,-20.2562961578369,-49.5480728149414,0
19,4,-23.5372695922852,-48.0817184448242,0
19,5,37.4462928771973,-32.8741188049316,0
19,6,11.4283227920532,23.0427837371826,0
19,7,-7.57880163192749,-19.6362495422363,0
19,8,13.1185913085938,0.941921532154083,0
19,9,20.4551029205322,-23.9152431488037,0
20,0,-32.4505996704102,-13.7791500091553,0
20,1,-20.0267314910889,-30.7014484405518,0
20,2,-0.163422256708145,-16.8468456268311,0
20,3,-21.4531002044678,-54.4018249511719,0
20,4,-24.8091659545898,-52.9164237976074,0
20,5,42.3408813476563,-33.8630790710449,0
20,6,12.6703586578369,27.8856391906738,0
20,7,-9.17567348480225,-17.7127628326416,0
20,8,14.1180534362793,5.82565498352051,0
20,9,20.4550971984863,-23.9152450561523,0
21,0,-32.4505996704102,-13.7791500091553,0
21,1,-20.6820602416992,-34.8987350463867,0
21,2,1.38034200668335,-18.8082809448242,0
21,3,-22.6510524749756,-59.2563972473145,0
21,4,-26.0808124542236,-57.7512092590332,0
21,5,47.3248176574707,-34.0170974731445,0
21,6,13.9090137481689,32.7296752929688,0
21,7,-11.1014547348022,-16.1304302215576,0
21,8,15.1214332580566,10.7225208282471,0
21,9,18.7613735198975,-23.418586730957,0
22,0,-30.3747215270996,-14.3318738937378,0
22,1,-21.6384601593018,-39.8021545410156,0
22,2,3.03486704826355,-20.6799545288086,0
22,3,0.0,0.0,0
22,4,0.0,0.0,0
22,5,52.3130302429199,-34.0828666687012,0
22,6,0.0,0.0,0
22,7,-13.2138423919678,-14.7909412384033,0
22,8,16.1320381164551,15.6189422607422,0
22,9,14.6629581451416,-22.1535968780518,0
23,0,-24.5066165924072,-15.8935565948486,0
23,1,-22.601541519165,-44.1344985961914,0
23,2,5.07527875900269,-22.111909866333,0
23,3,0.0,0.0,0
23,4,0.0,0.0,0
23,5,55.2442245483398,-34.5474624633789,0
23,6,0.0,0.0,0
23,7,-15.3348541259766,-13.4692182540894,0
23,8,17.2634429931641,20.4898433685303,0
23,9,9.96978569030762,-20.7051124572754,0
24,0,-17.7636909484863,-17.6807441711426,0
24,1,-23.8117065429688,-48.844310760498,0
24,2,7.26387929916382,-23.3145637512207,0
24,3,0.0,0.0,0
24,4,0.0,0.0,0
24,5,58.9593505859375,-35.4539909362793,0
24,6,0.0,0.0,0
24,7,-17.6134281158447,-12.4468193054199,0
24,8,18.4064712524414,25.3560256958008,0
24,9,5.20265626907349,-19.233829498291,0
25,0,-10.1369018554688,-19.1592063903809,0
25,1,-25.0549907684326,-53.6810455322266,0
25,2,9.45515727996826,-24.5127735137939,0
25,3,0.0,0.0,0
25,4,0.0,0.0,0
25,5,63.6873474121094,-36.6521835327148,0
25,6,0.0,0.0,0
25,7,-19.9369335174561,-11.5266847610474,0
25,8,19.5506420135498,30.223949432373,0
25,9,0.428126156330109,-17.7601432800293,0
26,0,-6.05444574356079,-18.1162014007568,0
26,1,-26.2989158630371,-58.5221900939941,0
26,2,11.6784543991089,-25.6467399597168,0
26,3,0.0,0.0,0
26,4,0.0,0.0,0
26,5,68.5296859741211,-37.8780555725098,0
26,6,0.0,0.0,0
26,7,-22.2614326477051,-10.6058597564697,0
26,8,0.0,0.0,0
26,9,-1.59800255298615,-17.093620300293,1
27,0,-6.06916856765747,-18.1221046447754,0
27,1,0.0,0.0,0
27,2,14.039719581604,-26.468713760376,0
27,3,0.0,0.0,0
27,4,0.0,0.0,0
27,5,73.3749771118164,-39.1051254272461,0
27,6,0.0,0.0,0
27,7,-24.6739959716797,-9.68478298187256,0
27,8,0.0,0.0,0
27,9,-1.5955593585968,-17.0930156707764,0
28,0,-6.06917762756348,-18.1221294403076,0
28,1,0.0,0.0,0
28,2,16.4212245941162,-27.2243404388428,0
28,3,0.0,0.0,0
28,4,0.0,0.0,0
28,5,78.2206878662109,-40.3323631286621,0
28,6,0.0,0.0,0
28,7,-28.9421577453613,-8.43470764160156,0
28,8,0.0,0.0,0
28,9,-1.59550666809082,-17.0930252075195,0
29,0,-6.06917762756348,-18.1221294403076,0
29,1,0.0,0.0,0
29,2,18.8022403717041,-27.9778213500977,0
29,3,0.0,0.0,0
29,4,0.0,0.0,0
29,5,83.0591659545898,-41.5842323303223,0
29,6,0.0,0.0,0
29,7,-33.728832244873,-7.08778285980225,0
29,8,0.0,0.0,0
29,9,-1.59548115730286,-17.0930271148682,0
